"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
1,"20100","Owned/Free","1",0,0,44,"C","White"
1,"20603","Owned/Mortgage","1",0,0,101,"C","White"
2,"20901","Rented","1",0,0,34,"C","White"
2,"20205","Rented","1",0,0,18,"C","White"
1,"20901","Owned/Free","1",0,0,19,"C","White"
5,"20701","Owned/Mortgage","2",0,1,17,"HS","White"
2,"20602","Owned/Mortgage","1",0,0,7,"C","White"
1,"20701","Rented","1",1,0,0,"HS","Black"
2,"20402","Rented","1",0,0,36,"C","White"
1,"20100","Owned/Mortgage","1",0,0,11,"C","White"
2,"20100","Rented","1",0,0,12,"C","White"
2,"20202","Owned/Free","1",0,0,24,"C","White"
2,"20500","Owned/Mortgage","1",0,0,31,"C","White"
2,"20702","Owned/Free","1",0,1,35,"HS","White"
1,"20801","Rented","1",0,0,80,"HS","Black"
2,"20703","Owned/Free","1",0,0,16,"HS","Two or more"
3,"20603","Owned/Mortgage","1",0,0,11,"HS","White"
4,"20203","Owned/Mortgage","1",0,0,9,"C","Other"
2,"20802","Owned/Free","1",0,0,6,"C","White"
2,"20500","Owned/Mortgage","1",0,0,49,"SC","White"
2,"20702","Owned/Mortgage","1",0,0,15,"C","White"
2,"20206","Owned/Mortgage","1",0,1,23,"C","Black"
4,"20702","Owned/Mortgage","1",0,0,19,"C","White"
1,"20801","Owned/Free","1",0,0,28,"C","White"
2,"20301","Owned/Mortgage","1",0,0,32,"SC","White"
9,"20701","Owned/Mortgage","1",1,0,101,"SC","Black"
2,"20703","Rented","2",0,1,34,"SC","White"
1,"20903","Rented","1",1,0,101,"SC","White"
3,"20701","Rented","1",0,0,33,"HS","Two or more"
1,"20301","Owned/Mortgage","1",0,0,13,"C","White"
4,"20801","Rented","1",0,0,51,"HS","Other"
2,"20301","Owned/Mortgage","1",0,0,19,"HS","White"
3,"20204","Owned/Mortgage","1",0,0,19,"C","White"
2,"20301","Owned/Free","1",0,0,5,"HS","White"
4,"20801","Rented","2",0,0,37,"HS","Other"
1,"20903","Rented","2",0,0,20,"C","Black"
2,"20802","Owned/Free","1",0,0,6,"C","White"
1,"20901","Owned/Mortgage","1",0,0,10,"C","White"
1,"20703","Rented","1",0,0,33,"HS","White"
1,"20802","Owned/Mortgage","1",0,0,15,"HS","White"
4,"20401","Owned/Mortgage","1",0,0,13,"C","White"
3,"20206","Owned/Mortgage","1",1,0,101,"SC","White"
2,"20204","Owned/Mortgage","1",0,0,10,"C","Black"
2,"20205","Owned/Mortgage","1",0,1,28,"C","White"
4,"20201","Rented","1",0,1,19,"HS","Other"
3,"20602","Owned/Free","1",1,1,101,"HS","Black"
3,"20204","Rented","1",0,0,5,"SC","Two or more"
1,"20901","Rented","1",1,0,0,"HS","Asian"
2,"20901","Owned/Free","1",0,0,6,"C","White"
2,"20301","Owned/Mortgage","1",0,0,3,"C","White"
3,"20904","Rented","1",0,0,11,"HS","White"
3,"20401","Owned/Free","1",0,0,12,"SC","White"
3,"20703","Rented","1",0,0,17,"C","White"
2,"20401","Owned/Free","1",0,0,8,"C","White"
3,"20500","Owned/Mortgage","1",0,0,17,"SC","White"
1,"20100","Owned/Free","1",0,0,8,"C","White"
2,"20801","Rented","1",1,1,20,"HS","Other"
2,"20203","Owned/Mortgage","1",0,0,18,"C","White"
1,"20702","Rented","1",0,0,36,"HS","White"
3,"20902","Owned/Mortgage","1",0,0,8,"C","White"
1,"20401","Rented","1",0,0,12,"HS","White"
4,"20703","Owned/Mortgage","1",0,0,15,"SC","White"
3,"20901","Owned/Mortgage","1",0,0,57,"SC","Black"
2,"20402","Owned/Mortgage","1",0,0,5,"C","Other"
3,"20401","Owned/Free","1",0,0,10,"SC","White"
1,"20500","Owned/Free","1",0,0,3,"SC","White"
3,"20601","Rented","1",0,1,62,"SC","Two or more"
1,"20401","Rented","1",0,0,37,"SC","White"
2,"20602","Rented","1",0,1,24,"HS","Black"
2,"20207","Owned/Mortgage","1",0,0,27,"C","Asian"
4,"20301","Owned/Mortgage","1",1,0,59,"C","White"
4,"20207","Owned/Mortgage","1",0,1,10,"C","White"
4,"20702","Owned/Mortgage","1",0,0,19,"SC","White"
1,"20401","Owned/Mortgage","1",0,0,54,"HS","White"
2,"20903","Owned/Mortgage","1",0,0,10,"C","White"
6,"20702","Owned/Free","1",0,0,16,"HS","Asian"
6,"20301","Owned/Free","1",0,0,19,"C","White"
3,"20601","Rented","1",1,1,83,"SC","White"
1,"20206","Owned/Mortgage","1",0,0,24,"C","White"
2,"20207","Owned/Mortgage","1",0,0,16,"C","White"
2,"20203","Owned/Mortgage","1",0,0,16,"C","White"
1,"20904","Rented","1",0,0,29,"SC","White"
1,"20401","Rented","1",0,0,27,"HS","White"
1,"20203","Rented","1",0,0,32,"C","White"
1,"20601","Rented","1",1,0,101,"HS","Other"
3,"20802","Owned/Mortgage","1",0,0,13,"SC","White"
4,"20904","Rented","1",0,0,27,"SC","White"
1,"20204","Owned/Free","1",0,0,5,"C","Other"
5,"20802","Owned/Free","1",0,0,25,"SC","Two or more"
1,"20702","Owned/Mortgage","1",0,0,19,"C","Other"
1,"20801","Rented","1",0,0,62,"HS","White"
3,"20703","Rented","1",0,1,14,"C","Asian"
4,"20500","Owned/Free","1",1,1,101,"HS","White"
2,"20903","Owned/Mortgage","1",0,0,14,"C","White"
1,"20100","Owned/Free","1",0,0,14,"C","White"
1,"20902","Owned/Free","1",0,0,35,"HS","White"
3,"20702","Rented","1",0,0,13,"C","White"
2,"20402","Owned/Free","1",0,0,23,"HS","White"
2,"20207","Owned/Mortgage","1",0,1,17,"C","White"
2,"20202","Owned/Free","1",0,0,14,"SC","White"
3,"20701","Rented","1",0,1,72,"HS","White"
3,"20904","Owned/Mortgage","1",0,0,26,"C","White"
2,"20703","Owned/Free","1",0,1,5,"HS","White"
1,"20202","Owned/Mortgage","2",0,0,48,"HS","White"
2,"20901","Owned/Free","1",0,1,9,"SC","Two or more"
2,"20402","Owned/Free","1",0,1,36,"SC","White"
4,"20703","Owned/Mortgage","1",0,0,9,"SC","White"
2,"20500","Rented","1",0,0,15,"C","White"
2,"20207","Rented","1",0,0,16,"SC","Two or more"
6,"20904","Rented","2",1,1,101,"HS","Other"
1,"20701","Owned/Mortgage","2",0,0,20,"C","White"
2,"20604","Owned/Free","2",0,1,16,"C","White"
2,"20204","Owned/Mortgage","1",0,0,16,"C","White"
3,"20500","Occupied","1",1,1,0,"SC","Black"
6,"20100","Owned/Mortgage","1",0,0,16,"C","White"
1,"20701","Owned/Mortgage","1",0,0,77,"SC","White"
3,"20201","Rented","1",0,1,68,"HS","Black"
2,"20205","Owned/Free","1",0,1,13,"SC","White"
1,"20401","Owned/Free","1",0,0,22,"C","White"
1,"20904","Owned/Free","1",0,0,17,"C","White"
3,"20802","Owned/Mortgage","1",0,0,17,"SC","White"
3,"20802","Rented","1",0,0,15,"C","White"
5,"20402","Owned/Mortgage","1",0,1,35,"C","White"
2,"20902","Owned/Mortgage","1",0,0,23,"C","White"
4,"20802","Owned/Mortgage","1",0,0,23,"HS","White"
1,"20100","Rented","1",0,0,25,"SC","White"
1,"20401","Owned/Mortgage","1",0,0,44,"C","Two or more"
1,"20901","Owned/Free","1",0,0,6,"SC","White"
4,"20904","Owned/Mortgage","1",0,0,19,"C","Other"
4,"20901","Rented","1",0,1,42,"HS","Other"
1,"20202","Owned/Mortgage","1",0,0,28,"C","White"
2,"20207","Owned/Mortgage","1",0,0,7,"C","White"
1,"20801","Owned/Free","1",1,0,101,"HS","Two or more"
3,"20202","Owned/Mortgage","1",1,0,66,"SC","White"
1,"20204","Rented","1",0,0,25,"C","White"
1,"20901","Owned/Free","1",0,0,47,"C","White"
3,"20703","Owned/Mortgage","1",0,0,25,"C","Other"
2,"20401","Owned/Free","1",0,0,5,"C","White"
3,"20201","Owned/Mortgage","1",0,0,58,"HS","Two or more"
5,"20206","Rented","1",0,0,34,"SC","White"
3,"20903","Owned/Mortgage","1",0,1,10,"HS","Other"
2,"20100","Rented","1",0,0,27,"HS","White"
7,"20801","Owned/Mortgage","2",0,0,44,"HS","Black"
1,"20601","Rented","1",0,0,30,"HS","Black"
1,"20701","Rented","1",0,0,19,"HS","Other"
2,"20904","Rented","2",1,1,0,"HS","Two or more"
2,"20602","Owned/Free","1",0,1,16,"HS","White"
1,"20206","Owned/Free","1",0,0,42,"HS","White"
1,"20702","Owned/Mortgage","1",0,0,20,"C","White"
1,"20401","Rented","1",0,0,30,"C","White"
2,"20901","Owned/Mortgage","1",0,1,39,"C","White"
2,"20602","Owned/Mortgage","1",0,0,25,"C","White"
4,"20206","Owned/Mortgage","1",0,0,29,"C","Asian"
4,"20205","Rented","1",0,1,13,"SC","Black"
1,"20500","Owned/Free","1",0,0,71,"HS","White"
3,"20402","Rented","1",1,1,42,"SC","White"
5,"20901","Owned/Mortgage","1",0,0,27,"HS","White"
2,"20500","Owned/Mortgage","1",0,0,18,"C","White"
3,"20500","Owned/Mortgage","1",0,0,16,"C","White"
4,"20500","Owned/Mortgage","1",0,0,14,"C","Black"
1,"20301","Owned/Mortgage","1",0,0,60,"HS","White"
2,"20901","Owned/Mortgage","1",0,0,3,"C","White"
1,"20802","Owned/Free","2",1,0,101,"C","White"
3,"20901","Rented","1",0,0,23,"HS","White"
2,"20202","Owned/Mortgage","1",0,1,27,"HS","White"
3,"20802","Owned/Free","1",0,0,4,"C","White"
1,"20902","Rented","1",0,0,40,"C","White"
2,"20206","Rented","1",0,0,29,"SC","White"
2,"20603","Owned/Free","1",0,0,12,"C","White"
2,"20201","Rented","1",0,1,12,"HS","Black"
1,"20904","Owned/Mortgage","1",0,0,26,"SC","White"
1,"20201","Rented","1",0,0,31,"HS","Two or more"
4,"20401","Owned/Mortgage","1",0,0,16,"C","White"
2,"20500","Owned/Free","1",0,0,9,"HS","White"
1,"20401","Owned/Mortgage","1",0,0,33,"HS","White"
5,"20801","Rented","1",0,0,20,"C","White"
1,"20703","Owned/Mortgage","1",0,0,48,"C","White"
1,"20100","Rented","1",1,0,64,"HS","White"
1,"20401","Owned/Mortgage","1",0,0,21,"SC","White"
1,"20901","Owned/Mortgage","1",0,0,27,"SC","White"
1,"20205","Rented","1",1,0,28,"SC","Black"
4,"20801","Owned/Free","1",0,0,4,"HS","Two or more"
1,"20204","Rented","1",1,0,101,"C","Other"
1,"20904","Rented","1",0,0,23,"C","White"
2,"20604","Rented","1",0,1,52,"SC","White"
2,"20206","Owned/Free","1",0,1,21,"HS","Other"
2,"20701","Rented","1",0,0,28,"SC","White"
2,"20205","Owned/Mortgage","1",0,0,21,"SC","Black"
4,"20500","Owned/Mortgage","1",0,0,13,"HS","Other"
3,"20202","Owned/Mortgage","1",0,1,48,"SC","Other"
1,"20205","Owned/Free","1",0,0,24,"C","White"
5,"20301","Owned/Mortgage","1",0,0,6,"SC","White"
1,"20601","Rented","1",0,0,101,"C","White"
2,"20100","Owned/Free","1",0,0,6,"SC","White"
2,"20904","Owned/Free","1",0,0,16,"C","White"
2,"20603","Owned/Free","1",1,1,101,"SC","White"
5,"20602","Owned/Mortgage","1",0,0,16,"C","White"
2,"20901","Owned/Mortgage","1",0,0,15,"C","White"
4,"20202","Owned/Mortgage","1",0,0,30,"HS","White"
3,"20204","Owned/Mortgage","1",0,0,17,"SC","White"
2,"20203","Owned/Free","1",0,0,17,"SC","White"
2,"20500","Owned/Free","1",0,0,3,"C","White"
1,"20603","Rented","1",0,0,12,"C","Asian"
3,"20202","Owned/Mortgage","1",0,1,14,"C","White"
1,"20601","Rented","1",0,0,37,"C","White"
1,"20402","Owned/Free","1",0,0,40,"C","White"
2,"20204","Owned/Mortgage","1",0,0,56,"C","Two or more"
3,"20206","Owned/Free","1",0,1,8,"C","Asian"
3,"20702","Owned/Mortgage","1",0,0,13,"C","Two or more"
6,"20206","Owned/Mortgage","1",0,0,13,"C","White"
1,"20205","Owned/Free","1",0,0,48,"HS","White"
2,"20903","Owned/Mortgage","1",1,0,0,"C","White"
2,"20207","Owned/Mortgage","1",0,0,13,"C","White"
2,"20207","Owned/Mortgage","1",0,0,8,"C","White"
1,"20602","Owned/Mortgage","1",0,0,36,"C","Other"
5,"20901","Owned/Mortgage","1",0,0,34,"SC","Black"
3,"20202","Owned/Free","1",0,0,8,"C","White"
1,"20903","Rented","1",0,0,25,"C","White"
1,"20301","Owned/Mortgage","1",1,0,101,"SC","White"
6,"20204","Rented","1",0,1,18,"HS","Other"
1,"20904","Owned/Mortgage","1",0,0,19,"C","White"
2,"20903","Owned/Free","1",0,0,3,"C","White"
4,"20202","Owned/Mortgage","1",0,0,13,"C","White"
2,"20203","Rented","1",0,0,31,"HS","Other"
1,"20206","Rented","1",0,0,25,"SC","White"
2,"20401","Rented","1",1,1,0,"C","Black"
4,"20702","Owned/Mortgage","1",0,0,12,"HS","White"
3,"20204","Owned/Mortgage","1",0,1,21,"HS","White"
1,"20601","Owned/Free","1",1,0,101,"HS","Black"
3,"20802","Owned/Mortgage","2",0,1,18,"HS","Two or more"
3,"20207","Owned/Free","1",0,0,7,"C","Asian"
7,"20901","Owned/Free","1",0,0,19,"HS","Asian"
5,"20301","Owned/Free","1",0,0,8,"C","White"
2,"20603","Rented","1",0,1,101,"SC","White"
2,"20204","Owned/Mortgage","1",0,0,8,"C","White"
3,"20901","Rented","2",1,0,95,"HS","Other"
1,"20904","Rented","1",0,0,23,"SC","White"
1,"20601","Rented","1",0,0,40,"C","White"
3,"20703","Rented","1",0,1,73,"SC","White"
3,"20903","Owned/Mortgage","1",0,1,11,"C","White"
2,"20702","Owned/Mortgage","1",0,0,18,"C","White"
3,"20205","Rented","1",0,0,26,"C","Two or more"
2,"20801","Rented","1",0,0,19,"C","White"
3,"20204","Owned/Mortgage","1",0,0,10,"HS","Black"
1,"20206","Owned/Mortgage","1",0,0,24,"SC","White"
1,"20206","Owned/Mortgage","1",0,0,40,"SC","White"
3,"20802","Owned/Mortgage","1",0,0,12,"C","Asian"
3,"20903","Owned/Mortgage","1",0,0,22,"HS","White"
2,"20904","Owned/Free","1",0,0,17,"HS","White"
3,"20703","Owned/Mortgage","1",0,0,20,"C","White"
1,"20702","Rented","2",0,0,51,"HS","Other"
4,"20202","Rented","1",0,0,13,"C","White"
1,"20204","Owned/Mortgage","1",1,0,101,"SC","White"
4,"20207","Rented","1",0,0,14,"C","Asian"
2,"20401","Owned/Mortgage","1",0,0,17,"HS","White"
1,"20301","Rented","1",0,0,35,"SC","White"
2,"20301","Owned/Free","1",0,0,6,"SC","White"
1,"20500","Owned/Free","1",0,0,16,"C","White"
2,"20207","Rented","1",0,1,28,"HS","White"
2,"20802","Owned/Free","1",0,0,13,"SC","White"
1,"20204","Rented","1",0,0,14,"C","White"
1,"20701","Rented","2",0,0,35,"SC","Two or more"
2,"20207","Owned/Free","1",0,1,11,"C","Asian"
2,"20601","Owned/Mortgage","1",0,0,28,"C","Black"
2,"20203","Owned/Mortgage","2",0,0,20,"C","White"
2,"20603","Owned/Mortgage","1",0,0,20,"HS","White"
5,"20601","Rented","1",0,1,23,"SC","Other"
1,"20602","Rented","1",0,0,29,"HS","White"
2,"20205","Owned/Free","1",0,0,4,"C","White"
3,"20802","Owned/Free","1",0,0,19,"C","White"
1,"20202","Rented","1",0,0,21,"C","White"
2,"20301","Owned/Free","1",0,0,8,"SC","White"
2,"20207","Rented","1",0,0,33,"SC","White"
1,"20904","Rented","1",0,0,20,"HS","White"
2,"20207","Rented","1",0,1,43,"SC","Black"
4,"20703","Owned/Mortgage","1",0,0,26,"C","White"
1,"20701","Owned/Mortgage","1",0,0,99,"C","White"
3,"20204","Owned/Mortgage","2",0,0,22,"C","White"
5,"20904","Owned/Mortgage","1",0,1,61,"HS","Black"
4,"20904","Owned/Mortgage","1",0,0,7,"C","White"
1,"20204","Owned/Mortgage","1",0,0,54,"HS","White"
1,"20602","Owned/Mortgage","1",0,0,23,"C","White"
5,"20603","Rented","1",0,0,18,"SC","Two or more"
2,"20903","Owned/Free","1",0,0,15,"C","White"
1,"20206","Rented","1",0,0,36,"HS","White"
4,"20702","Owned/Mortgage","1",0,1,20,"HS","White"
5,"20205","Owned/Mortgage","1",0,0,14,"HS","White"
7,"20601","Rented","1",1,1,73,"SC","White"
3,"20602","Owned/Free","1",0,0,9,"C","Other"
1,"20500","Owned/Mortgage","1",0,0,13,"C","White"
1,"20601","Rented","1",1,0,101,"HS","Other"
1,"20604","Owned/Free","1",0,0,29,"HS","White"
2,"20702","Owned/Free","1",0,0,22,"C","White"
7,"20601","Rented","1",0,1,28,"HS","White"
4,"20202","Owned/Mortgage","1",1,1,26,"C","White"
2,"20500","Owned/Free","1",0,0,3,"C","White"
3,"20901","Owned/Free","1",0,0,10,"HS","White"
3,"20206","Owned/Mortgage","1",0,1,20,"C","White"
1,"20204","Owned/Mortgage","1",0,0,17,"C","Two or more"
1,"20202","Rented","2",0,0,60,"SC","White"
1,"20801","Owned/Free","1",0,0,15,"C","Black"
2,"20203","Owned/Mortgage","1",0,1,22,"SC","White"
3,"20206","Rented","1",0,1,33,"HS","White"
2,"20402","Rented","1",0,1,49,"HS","White"
2,"20500","Rented","1",0,1,62,"HS","White"
2,"20205","Rented","1",1,1,101,"SC","Black"
2,"20602","Owned/Mortgage","1",0,1,30,"SC","Two or more"
2,"20205","Owned/Mortgage","1",0,0,9,"C","White"
3,"20207","Rented","1",0,1,18,"HS","White"
3,"20207","Rented","1",0,1,24,"SC","Black"
2,"20203","Rented","1",0,0,12,"HS","White"
2,"20201","Rented","1",0,0,23,"SC","Black"
3,"20204","Owned/Free","1",0,0,18,"HS","White"
4,"20402","Owned/Mortgage","1",0,0,16,"C","White"
4,"20902","Owned/Mortgage","1",0,0,21,"C","White"
3,"20703","Owned/Mortgage","1",0,1,30,"SC","White"
1,"20601","Rented","1",0,0,40,"C","Black"
3,"20903","Owned/Mortgage","1",0,0,42,"C","White"
4,"20603","Rented","2",0,0,64,"HS","Black"
2,"20702","Owned/Free","1",0,0,8,"C","White"
4,"20902","Owned/Mortgage","1",0,0,8,"SC","White"
2,"20901","Rented","1",0,0,13,"C","White"
1,"20904","Owned/Mortgage","1",0,0,28,"C","Black"
4,"20301","Owned/Mortgage","1",0,0,13,"C","White"
5,"20204","Rented","1",1,1,101,"HS","Other"
6,"20402","Rented","1",0,0,27,"SC","White"
1,"20602","Owned/Mortgage","1",0,0,28,"C","White"
2,"20903","Owned/Free","1",1,0,0,"C","White"
2,"20802","Owned/Mortgage","1",0,0,21,"C","White"
1,"20902","Rented","1",0,0,44,"HS","Black"
2,"20203","Owned/Mortgage","1",0,0,16,"C","White"
3,"20904","Owned/Mortgage","1",0,0,9,"C","White"
5,"20202","Owned/Mortgage","1",0,0,20,"C","White"
1,"20206","Owned/Free","1",0,0,37,"HS","White"
3,"20207","Owned/Mortgage","1",0,0,16,"C","White"
1,"20100","Occupied","2",1,0,0,"C","White"
3,"20903","Rented","1",1,1,101,"SC","Black"
2,"20100","Owned/Free","1",0,0,53,"C","White"
1,"20206","Rented","1",0,0,40,"SC","White"
2,"20603","Owned/Free","1",0,0,3,"C","White"
2,"20401","Owned/Mortgage","1",0,0,23,"C","White"
2,"20202","Owned/Mortgage","1",0,0,90,"C","White"
2,"20702","Owned/Free","1",0,0,40,"C","White"
1,"20500","Rented","2",0,0,29,"C","White"
1,"20205","Rented","1",0,0,29,"SC","Black"
1,"20207","Rented","1",0,0,72,"C","White"
2,"20401","Owned/Free","1",0,0,11,"C","White"
2,"20205","Owned/Free","1",0,0,13,"C","White"
2,"20603","Owned/Mortgage","1",0,0,17,"SC","White"
2,"20500","Owned/Free","1",0,0,18,"SC","White"
1,"20205","Rented","1",1,0,68,"HS","White"
2,"20703","Owned/Mortgage","1",0,0,13,"C","White"
2,"20604","Owned/Mortgage","1",0,0,24,"SC","White"
1,"20604","Owned/Free","1",0,0,24,"HS","White"
3,"20801","Rented","2",0,0,19,"HS","White"
1,"20401","Owned/Free","1",0,0,25,"HS","White"
7,"20904","Owned/Mortgage","1",0,1,20,"SC","Asian"
2,"20500","Owned/Mortgage","1",0,0,18,"C","White"
3,"20203","Owned/Mortgage","1",0,0,13,"C","White"
1,"20401","Owned/Free","1",0,0,10,"C","Two or more"
2,"20301","Owned/Free","1",0,0,8,"HS","White"
2,"20100","Owned/Mortgage","1",0,0,23,"HS","White"
2,"20904","Rented","1",0,0,21,"HS","Other"
2,"20301","Owned/Mortgage","1",0,0,13,"HS","White"
3,"20201","Rented","1",1,1,101,"HS","White"
1,"20602","Owned/Mortgage","1",0,0,24,"C","White"
2,"20601","Owned/Free","1",0,0,10,"C","White"
2,"20202","Owned/Mortgage","1",0,0,22,"SC","White"
5,"20904","Owned/Free","1",0,0,6,"SC","White"
1,"20201","Rented","1",0,0,37,"HS","Black"
1,"20301","Owned/Free","1",0,0,23,"SC","White"
3,"20903","Owned/Mortgage","1",0,1,22,"C","White"
2,"20204","Rented","1",1,0,99,"C","White"
3,"20202","Owned/Mortgage","1",0,1,45,"SC","Black"
4,"20703","Owned/Mortgage","1",0,0,36,"C","White"
3,"20402","Owned/Mortgage","1",0,1,21,"C","Two or more"
2,"20207","Owned/Mortgage","1",0,0,27,"C","White"
1,"20904","Owned/Free","1",1,0,90,"HS","White"
4,"20601","Owned/Mortgage","1",1,0,77,"HS","Other"
2,"20601","Owned/Mortgage","1",0,0,15,"HS","Black"
1,"20703","Rented","1",0,0,21,"HS","White"
2,"20702","Owned/Free","1",0,0,11,"C","White"
2,"20703","Rented","1",0,0,51,"HS","White"
6,"20206","Owned/Mortgage","1",0,0,16,"HS","White"
3,"20601","Rented","1",0,0,12,"HS","White"
1,"20603","Rented","1",0,0,19,"SC","Black"
4,"20603","Owned/Free","1",0,0,4,"SC","White"
2,"20701","Rented","1",1,1,101,"SC","Two or more"
3,"20701","Rented","1",1,1,101,"C","Black"
2,"20703","Owned/Free","1",0,0,20,"SC","White"
2,"20602","Rented","1",0,1,23,"HS","Black"
3,"20904","Rented","2",0,1,20,"HS","Other"
3,"20904","Owned/Free","1",0,0,19,"C","White"
1,"20206","Owned/Free","1",0,0,21,"SC","White"
2,"20402","Owned/Mortgage","1",0,0,39,"SC","White"
2,"20401","Occupied","1",0,1,0,"C","White"
2,"20703","Owned/Free","1",0,0,9,"SC","White"
1,"20703","Rented","1",0,0,22,"SC","White"
1,"20604","Owned/Free","1",0,0,22,"HS","White"
6,"20204","Owned/Mortgage","1",0,0,11,"C","Asian"
2,"20206","Owned/Free","1",0,0,11,"SC","White"
1,"20902","Rented","1",0,0,50,"SC","White"
1,"20801","Owned/Free","2",0,0,31,"SC","Other"
1,"20702","Rented","1",0,0,20,"C","White"
4,"20802","Owned/Free","1",0,0,8,"SC","White"
3,"20603","Rented","1",0,0,18,"C","White"
1,"20201","Rented","1",0,0,14,"C","White"
2,"20903","Owned/Free","1",0,1,18,"SC","Black"
4,"20301","Owned/Mortgage","1",0,0,19,"HS","White"
2,"20602","Owned/Mortgage","1",0,0,13,"C","White"
1,"20201","Rented","2",1,0,0,"HS","Black"
3,"20901","Rented","1",0,0,7,"C","White"
3,"20603","Rented","1",1,1,101,"C","Black"
4,"20703","Owned/Mortgage","1",0,0,19,"SC","White"
1,"20201","Rented","1",0,0,13,"SC","Black"
4,"20903","Owned/Mortgage","1",0,0,22,"C","White"
3,"20402","Owned/Mortgage","1",0,0,14,"C","White"
3,"20402","Owned/Free","1",0,0,4,"C","White"
1,"20801","Owned/Free","1",1,0,101,"SC","Other"
2,"20207","Owned/Mortgage","1",0,0,10,"C","Asian"
5,"20203","Owned/Mortgage","1",0,0,63,"SC","White"
2,"20603","Owned/Mortgage","1",0,0,17,"C","White"
1,"20802","Owned/Free","1",0,0,9,"C","Asian"
1,"20901","Rented","1",0,0,56,"HS","Black"
1,"20100","Owned/Mortgage","1",0,0,38,"HS","White"
1,"20402","Owned/Free","1",0,0,36,"HS","White"
4,"20703","Owned/Mortgage","1",0,0,19,"C","Asian"
3,"20703","Rented","1",0,1,17,"HS","White"
3,"20601","Rented","2",0,0,35,"HS","Other"
5,"20100","Owned/Free","1",0,0,15,"C","White"
1,"20500","Rented","1",1,0,101,"C","White"
2,"20902","Rented","1",0,0,12,"C","White"
2,"20802","Owned/Free","1",0,0,10,"HS","White"
1,"20802","Owned/Free","1",0,0,26,"C","White"
1,"20702","Occupied","2",0,0,0,"HS","White"
1,"20201","Rented","1",0,0,29,"HS","Black"
2,"20202","Rented","1",0,1,62,"SC","White"
6,"20904","Owned/Free","1",0,0,6,"HS","Other"
5,"20703","Owned/Mortgage","1",0,0,24,"C","Two or more"
2,"20601","Owned/Mortgage","1",0,0,27,"SC","White"
2,"20604","Owned/Free","1",0,1,14,"C","White"
2,"20500","Owned/Mortgage","1",0,0,9,"C","White"
1,"20201","Owned/Free","1",0,0,18,"SC","Black"
2,"20401","Owned/Free","1",0,0,12,"C","White"
2,"20603","Owned/Mortgage","1",0,0,16,"SC","Two or more"
2,"20604","Owned/Free","1",0,0,14,"C","White"
2,"20902","Owned/Free","1",0,0,34,"C","White"
1,"20100","Owned/Free","1",0,0,21,"C","Other"
3,"20402","Owned/Mortgage","1",0,1,14,"C","White"
2,"20902","Rented","1",0,0,36,"C","White"
2,"20402","Owned/Free","1",0,0,19,"SC","White"
2,"20401","Owned/Mortgage","1",0,0,101,"C","White"
4,"20205","Owned/Mortgage","1",0,0,8,"C","White"
5,"20903","Rented","1",0,0,20,"SC","Other"
2,"20301","Owned/Free","1",0,0,17,"SC","White"
4,"20702","Owned/Mortgage","1",0,0,18,"SC","White"
3,"20202","Owned/Mortgage","1",0,0,12,"SC","Black"
2,"20402","Owned/Free","1",0,1,13,"HS","White"
1,"20802","Owned/Mortgage","1",0,0,14,"HS","White"
8,"20201","Owned/Free","1",0,1,11,"SC","Black"
2,"20604","Owned/Mortgage","1",0,0,12,"C","White"
1,"20206","Owned/Mortgage","1",0,0,43,"SC","White"
1,"20402","Rented","1",0,0,69,"SC","White"
